"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
449,1,"REA 101","REA 101 Arc Protection Relay

NOTE: For Arc Flash Analysis use this relay trip time only at faulted bus!

Data from Operator's Manual.

Relay trips when Arc detected by optical sensor at specific equipment.

Publication #: 1MRS751003-MUM

Note : IOC delay is 0.0025 sec. Due to limitation of values up to three 
             decimal places, 0.002 displays in relay model. Plots at 0.0025 Sec.",1,1,0,0
1093,1,"REC 561","ABB Network Protector REC 561",0,1,0,0
774,1,"REC 670","",1,1,1,0
1184,1,"REC650","Bay Control REC650


Source : 1MRK511287-UEN_-_en_Technical_manual__Bay_Control__REC650_1.3__IEC.pdf",1,1,1,0
1196,1,"RED 670","Line differential protection RED670


Source : 1MRK505186-UEN_D_en_Application_manual__Line_Differential_Protection_IED_RED_670_1.1.pdf",1,1,1,0
1083,1,"RED615","Line Differential Protection and Control RED615

Source: RED615_pg_756500_ENh.pdf",1,1,0,0
173,1,"REF 541","ABB REF 541, 543, 545 Feeder Terminal Relay
Time Current Curves

Product Literature: 1MRS 750443-MBG
June 1999",1,1,0,0
910,1,"REF 543","ABB REF 541, 543, 545 Feeder Terminal Relay
Time Current Curves

Product Literature: 1MRS 750443-MBG
June 1999
",1,1,0,0
1137,1,"REF 601","Feeder Protection REF601

Source : REF601_um_1MDU07204-YN_ENe.pdf",1,1,0,0
1291,1,"REF 601 Ver2.2","Feeder protection and control / Feeder protection
REF601 / REJ601

Product version: 2.2FP1 
Issued: 2014-06-23 
Revision: C

Source : REF601_pg_1MDB07212-YN_ENc .pdf
              REF601_um_1MDU07212-YN_ENc.pdf",1,1,0,0
594,1,"REF 610","ABB Ref 610 Relay

Doc: 1MRS 755535

",1,1,0,0
1041,1,"REF 620 ANSI","REF 620-  
HIGH END DISTRIBUTION FEEDER RELAY

Note: 
Pickup value multiplier (range 0.8 to 10) not modeled here. 
Default value of 1.0 assumed.
",1,1,0,0
1042,1,"REF 620 IEC","REF 620-  
HIGH END DISTRIBUTION FEEDER RELAY

Note : 
Pickup value multiplier (range 0.8 to 10) not modeled here. 
Default value of 1.0 assumed.",1,1,0,0
481,1,"REF542plus","REF542plus
Source :
1VCP000108- Rev. A, en - Technical Catalogue 2002.12

1VTA10002 Rev 02",1,1,0,0
771,1,"REF615 ANSI","Feeder Protection REF615 ANSI

Source : REF615_pg_756379_ENc_.pdf
              REF615_Product_Guide_ANSI.pdf

Note : 
Pickup value multiplier (range 0.8 to 10) not modeled here. 
Default value of 1.0 assu.",1,1,0,0
868,1,"REF615 IEC","Feeder Protection REF615 IEC

Source : REF615_pg_756379_ENf.pdf
              

Note : 
Pickup value multiplier (range 0.8 to 10) not modeled here. 
Default value of 1.0 assumed.",1,1,0,0
1210,1,"REF615R","Feeder Protection REF615R

Source : REF615R_tech_240050_ENa.pdf

Note : 
Pickup value multiplier (range 0.8 to 10) not modeled here. 
Default value of 1.0 assu.",1,1,0,0
869,1,"REF630","Feeder Protection and Control REF615 IEC

Source : REF630_pg_756976_ENb.pdf.pdf
              RE_630_comm_756801 _ENa.pdf",1,1,0,0
1383,1,"REG 615","Generator and Interconnection Protection
REG615

Source : REG615_pg_758279_ENb.pdf",1,1,0,0
1486,1,"REG 630","Generator Protection and Control REG630
1MRS757583 C

Source : REG630_pg_757583_ENc.pdf",1,1,2,0
928,1,"REG 650","Generator protection REG650

Source : Technical Manual
              1MRK502034-UEN_-_en_Technical_manual__Generator_protection_REG650__IEC.pdf

Note : Minimum Operate Current and Minimum Operate Time not modeled.
           Ip = load current before overload occurs (preload)",1,1,2,0
1112,1,"REG 670","Generator protection REG670

Source : Technical Manual
              1mrk502019-ben_b_en_generator_protection_reg670_1.1_pre-configured__product_guide.pdf

Note : Minimum Operate Current and Minimum Operate Time not modeled.
           Ip = load current before overload occurs (preload)",1,1,2,0
1276,1,"REG216","REG216, REG216 Compact REC216 Numerical Generator Protection

Note : for 51/50 Function, Ibase = 0.04 to 2.5 x In
                                        Pickup = 1 to 4 times Ibase
The given range in the model is product range of two mulipliers.",1,1,2,0
713,1,"REJ 521","ABB REJ 521 Earth Fault Relay

Manual: 1MRS750939-MUM EN 11.2005

",0,0,0,0
482,1,"REJ 525","Source :
1MRS 750941-MUM
Issued: 14.09.98
Version: C/05.07.2002

1MRS 751205-MBG
Issued: November 2001
Version: B/16.10.2002",0,1,0,0
1292,1,"REJ 601 Ver2.2","Feeder protection and control / Feeder protection
REF601 / REJ601

Product version: 2.2FP1 
Issued: 2014-06-23 
Revision: C

Source : REF601_pg_1MDB07212-YN_ENc .pdf
              REF601_um_1MDU07212-YN_ENc.pdf",1,1,0,0
